time; cam; ref; diff
1597505458.4796789; 27.899; 0.030; 27.869
1597505458.730005; 27.889; 0.030; 27.859
1597505458.8389404; 27.889; 0.030; 27.859
1597505458.890988; 27.876; 0.030; 27.846
1597505459.036882; 27.876; 0.030; 27.846
1597505459.1842127; 27.869; 28.375; -0.506
1597505459.2864428; 27.869; 28.375; -0.506
1597505459.3889542; 27.864; 28.375; -0.511
1597505459.4826365; 27.864; 28.375; -0.511
1597505459.6102486; 27.854; 28.375; -0.521
1597505459.729963; 27.854; 28.375; -0.521
1597505459.81645; 27.845; 28.375; -0.530
1597505459.9784322; 27.845; 28.375; -0.530
1597505460.0965436; 27.818; 28.437; -0.619
1597505460.1691878; 27.818; 28.437; -0.619
1597505460.2963529; 27.805; 28.437; -0.632
1597505460.364873; 27.805; 28.437; -0.632
1597505460.5259778; 27.797; 28.437; -0.640
1597505460.6372876; 27.797; 28.437; -0.640
1597505460.7516737; 27.794; 28.437; -0.643
1597505460.8633425; 27.794; 28.437; -0.643
1597505461.017387; 27.793; 28.437; -0.644
1597505461.087924; 27.793; 28.437; -0.644
1597505461.214568; 27.783; 28.437; -0.654
1597505461.344653; 27.783; 28.437; -0.654
1597505461.4588118; 27.779; 28.437; -0.658
1597505461.5556312; 27.779; 28.437; -0.658
1597505461.678538; 27.789; 28.437; -0.648
1597505461.7835052; 27.789; 28.437; -0.648
1597505461.9006717; 27.784; 28.437; -0.653
1597505461.9694731; 27.784; 28.437; -0.653
1597505462.1419616; 27.783; 28.437; -0.654
1597505462.237198; 27.783; 28.437; -0.654
1597505462.364957; 27.785; 28.437; -0.652
1597505462.4654686; 27.785; 28.437; -0.652
1597505462.552463; 27.775; 28.437; -0.662
1597505462.6919913; 27.775; 28.500; -0.725
1597505462.8002827; 27.772; 28.500; -0.728
1597505462.8976843; 27.772; 28.500; -0.728
1597505463.03199; 27.766; 28.500; -0.734
1597505463.1223085; 27.766; 28.500; -0.734
1597505463.2587254; 27.778; 28.500; -0.722
1597505463.372971; 27.778; 28.500; -0.722
1597505463.4871938; 27.776; 28.500; -0.724
1597505463.633041; 27.776; 28.437; -0.661
1597505463.7165754; 27.772; 28.437; -0.665
1597505463.8521154; 27.772; 28.437; -0.665
1597505463.9481661; 27.758; 28.437; -0.679
1597505464.0343335; 27.758; 28.437; -0.679
1597505464.1714056; 27.752; 28.437; -0.685
1597505464.2861614; 27.752; 28.437; -0.685
1597505464.433914; 27.748; 28.375; -0.627
1597505464.5049846; 27.748; 28.375; -0.627
1597505464.6241825; 27.738; 28.375; -0.637
1597505464.6939802; 27.738; 28.375; -0.637
1597505464.8555624; 27.731; 28.375; -0.644
1597505464.9452462; 27.731; 28.375; -0.644
1597505465.0788786; 27.744; 28.375; -0.631
1597505465.2143378; 27.744; 28.375; -0.631
1597505465.3214014; 27.730; 28.375; -0.645
1597505465.4120283; 27.730; 28.375; -0.645
1597505465.5541074; 27.725; 28.375; -0.650
1597505465.658908; 27.725; 28.375; -0.650
1597505465.7736037; 27.710; 28.375; -0.665
1597505465.8972423; 27.710; 28.375; -0.665
1597505465.9995797; 27.711; 28.375; -0.664
1597505466.1067603; 27.711; 28.375; -0.664
1597505466.200876; 27.711; 28.437; -0.726
1597505466.337559; 27.711; 28.437; -0.726
1597505466.4511461; 27.700; 28.437; -0.737
1597505466.5620158; 27.700; 28.437; -0.737
1597505466.700025; 27.699; 28.437; -0.738
1597505466.7954495; 27.699; 28.437; -0.738
1597505466.906409; 27.708; 28.437; -0.729
1597505466.9988122; 27.708; 28.437; -0.729
1597505467.1335874; 27.705; 28.375; -0.670
1597505467.2496336; 27.705; 28.375; -0.670
1597505467.3477724; 27.707; 28.375; -0.668
1597505467.475266; 27.707; 28.375; -0.668
1597505467.566731; 27.714; 28.375; -0.661
1597505467.7251308; 27.714; 28.375; -0.661
1597505467.7832413; 27.726; 28.375; -0.649
1597505467.931286; 27.726; 28.375; -0.649
1597505468.0236905; 27.723; 28.375; -0.652
1597505468.1565664; 27.723; 28.375; -0.652
1597505468.2621548; 27.708; 28.375; -0.667
1597505468.386077; 27.708; 28.375; -0.667
1597505468.5204551; 27.688; 28.375; -0.687
1597505468.604789; 27.688; 28.375; -0.687
1597505468.728033; 27.684; 28.375; -0.691
1597505468.8236325; 27.684; 28.500; -0.816
1597505468.9550538; 27.676; 28.500; -0.824
1597505469.0674875; 27.676; 28.500; -0.824
1597505469.1838558; 27.666; 28.500; -0.834
1597505469.3137255; 27.666; 28.500; -0.834
1597505469.4055808; 27.665; 28.500; -0.835
1597505469.525; 27.665; 28.500; -0.835
1597505469.6290627; 27.660; 28.500; -0.840
1597505469.7509015; 27.660; 28.437; -0.777
1597505469.871679; 27.653; 28.437; -0.784
1597505469.973281; 27.653; 28.437; -0.784
1597505470.1106195; 27.647; 28.437; -0.790
1597505470.2008257; 27.647; 28.437; -0.790
1597505470.3224895; 27.653; 28.437; -0.784
1597505470.4371161; 27.653; 28.437; -0.784
1597505470.557103; 27.650; 28.500; -0.850
1597505470.6597311; 27.650; 28.500; -0.850
1597505470.7814233; 27.681; 28.500; -0.819
1597505470.8618157; 27.681; 28.500; -0.819
1597505471.0103426; 27.716; 28.500; -0.784
1597505471.1298995; 27.716; 28.500; -0.784
1597505471.242172; 27.707; 28.500; -0.793
1597505471.3605561; 27.707; 28.500; -0.793
1597505471.4574962; 27.701; 28.500; -0.799
1597505471.5790248; 27.701; 28.500; -0.799
1597505471.682421; 27.693; 28.500; -0.807
1597505471.8159888; 27.693; 28.500; -0.807
1597505471.9170916; 27.707; 28.500; -0.793
1597505472.050904; 27.707; 28.500; -0.793
1597505472.1462429; 27.721; 28.500; -0.779
1597505472.2778862; 27.721; 28.500; -0.779
1597505472.4003797; 27.716; 28.375; -0.659
1597505472.5074236; 27.716; 28.375; -0.659
1597505472.5856085; 27.709; 28.375; -0.666
1597505472.7171414; 27.709; 28.375; -0.666
1597505472.8572912; 27.715; 28.375; -0.660
1597505472.9457512; 27.715; 28.375; -0.660
1597505473.0629056; 27.710; 28.375; -0.665
1597505473.1919062; 27.710; 28.437; -0.727
1597505473.273961; 27.702; 28.437; -0.735
1597505473.4070976; 27.702; 28.437; -0.735
1597505473.5325449; 27.693; 28.437; -0.744
1597505473.6251845; 27.693; 28.437; -0.744
1597505473.7389283; 27.679; 28.437; -0.758
1597505473.831827; 27.679; 28.437; -0.758
1597505473.975924; 27.674; 28.437; -0.763
1597505474.0547175; 27.674; 28.437; -0.763
1597505474.2202904; 27.667; 28.500; -0.833
1597505474.3155334; 27.667; 28.500; -0.833
1597505474.4025176; 27.661; 28.500; -0.839
1597505474.5410194; 27.661; 28.500; -0.839
1597505474.67305; 27.655; 28.500; -0.845
1597505474.7848117; 27.655; 28.500; -0.845
1597505474.9182513; 27.662; 28.500; -0.838
